"Sign Up for Newsletter","Abonnieren Sie unseren Newsletter (Abmeldung jederzeit möglich)"
"Sign up for our newsletter:","Abonnieren Sie unseren Newsletter (Abmeldung jederzeit möglich):"
"Sign Up for Our Newsletter:","Abonnieren Sie unseren Newsletter (Abmeldung jederzeit möglich):"
"General Subscription","Allgemeines Abonnement (kann jederzeit abbestellt werden)"
"Logo for PDF print-outs (200x50)","Logo für PDF Ausdrucke"
"You will receive an order confirmation email with details of your order and a link to track its progress.","Sie erhalten in kürze eine Bestellbestätigung per Email. Wenn Sie aktuell eingeloggt sind und einen Kunden Account in unserem Shop haben, dann klicken Sie unten auf den Link, um eine Kopie Ihrer Bestellbestätigung zu drucken."
"Click <a href=""%s"" onclick=""this.target='_blank'"">here to print</a> a copy of your order confirmation.","<a href=""%s"" onclick=""this.target='_blank'"">Bestellbestätigung drucken</a>"
"Availability: In stock.","Verfügbarkeit: sofort lieferbar"
"In stock","sofort lieferbar"
"Tax","MwSt."
"Please agree to all Terms and Conditions before placing the order.","Bitte bestätigen Sie die AGB und die Widerrufsbelehrung."
"Please agree to all Terms and Conditions before placing the orders.","Bitte bestätigen Sie die AGB und die Widerrufsbelehrung."
"Estimate Shipping and Tax","Versandkosten"
"Enter your destination to get a shipping estimate.","Geben Sie Ihren Zielort ein, um die Versandkosten anzuzeigen."
"Get a Quote","Kosten anzeigen"
